Date,Term,Rate
2024-06-28,5,2.09
2024-06-27,5,2.07
2024-06-26,5,2.12
2024-06-25,5,2.08
2024-06-24,5,2.09
2024-06-21,5,2.07
2024-06-20,5,2.05
2024-06-18,5,2.07
2024-06-17,5,2.14
2024-06-14,5,2.11
2024-06-13,5,2.1
2024-06-12,5,2.15
2024-06-11,5,2.16
2024-06-10,5,2.21
2024-06-07,5,2.18
2024-06-06,5,2.04
2024-06-05,5,2.04
2024-06-04,5,2.07
2024-06-03,5,2.11
2024-06-28,7,2.08
2024-06-27,7,2.04
2024-06-26,7,2.08
2024-06-25,7,2.04
2024-06-24,7,2.05
2024-06-21,7,2.04
2024-06-20,7,2.02
2024-06-18,7,2.03
2024-06-17,7,2.1
2024-06-14,7,2.06
2024-06-13,7,2.06
2024-06-12,7,2.12
2024-06-11,7,2.14
2024-06-10,7,2.18
2024-06-07,7,2.15
2024-06-06,7,2.02
2024-06-05,7,2.01
2024-06-04,7,2.04
2024-06-03,7,2.09
2024-06-28,10,2.08
2024-06-27,10,2.03
2024-06-26,10,2.06
2024-06-25,10,2.01
2024-06-24,10,2.03
2024-06-21,10,2.02
2024-06-20,10,2.0
2024-06-18,10,2.01
2024-06-17,10,2.06
2024-06-14,10,2.03
2024-06-13,10,2.03
2024-06-12,10,2.09
2024-06-11,10,2.12
2024-06-10,10,2.16
2024-06-07,10,2.13
2024-06-06,10,2.0
2024-06-05,10,1.99
2024-06-04,10,2.02
2024-06-03,10,2.08
2024-06-28,20,2.16
2024-06-27,20,2.09
2024-06-26,20,2.11
2024-06-25,20,2.06
2024-06-24,20,2.08
2024-06-21,20,2.09
2024-06-20,20,2.06
2024-06-18,20,2.05
2024-06-17,20,2.1
2024-06-14,20,2.07
2024-06-13,20,2.09
2024-06-12,20,2.15
2024-06-11,20,2.17
2024-06-10,20,2.22
2024-06-07,20,2.19
2024-06-06,20,2.07
2024-06-05,20,2.07
2024-06-04,20,2.09
2024-06-03,20,2.15
2024-06-28,30,2.23
2024-06-27,30,2.15
2024-06-26,30,2.17
2024-06-25,30,2.12
2024-06-24,30,2.14
2024-06-21,30,2.15
2024-06-20,30,2.12
2024-06-18,30,2.1
2024-06-17,30,2.15
2024-06-14,30,2.12
2024-06-13,30,2.15
2024-06-12,30,2.21
2024-06-11,30,2.23
2024-06-10,30,2.28
2024-06-07,30,2.24
2024-06-06,30,2.14
2024-06-05,30,2.13
2024-06-04,30,2.16
2024-06-03,30,2.22
